회사명,거래소코드,회계년도,[U01B951020000]*주당순손익(요약)(IFRS연결)(원),[U01B951020000]*주당순손익(요약)(IFRS)(원),[U01219000]주당순이익(요약)(원),[U01B951020000]*주당순손익(IFRS연결)(원),[U01B951020000]*주당순손익(IFRS)(원),[U01290400]*주당순손익(연결)(원),[U01290400]*주당순손익(원),당기순이익(천원),주당순이익(원),주당순자산(원)
(주)메디쎄이,200580,2020/12,0,-545,-545,-26,-545,-26,-545,-2058556,-545,0
(주)메디쎄이,200580,2021/12,1,1205,1205,1364,1205,1364,1205,4515364,1205,0
(주)메디쎄이,200580,2022/12,1,1067,1067,1210,1067,1210,1067,4034377,1067,0
(주)메디안디노스틱,233250,2017/12,980,978,978,980,978,980,978,1491941,978,0
(주)메디안디노스틱,233250,2018/12,481,494,494,481,494,481,494,809489,494,0
(주)메디안디노스틱,233250,2019/12,0,367,367,366,367,366,367,601931,367,0
(주)메디안디노스틱,233250,2020/12,1,1338,1338,1322,1338,1322,1338,2194573,1338,0
(주)메디안디노스틱,233250,2021/12,1,1419,1419,1455,1419,1455,1419,2328119,1419,0
(주)메디안디노스틱,233250,2022/12,0,196,196,198,196,198,196,323223,196,0
(주)메디젠휴먼케어,236340,2016/12,,,-680,,,,-652,-1566964,-680,0
(주)메디젠휴먼케어,236340,2017/12,,,-581,,,,-581,-1339481,-581,0
(주)메디젠휴먼케어,236340,2018/12,-1004,-1003,-1003,0,-1003,-1004,-1003,-2312156,-1003,0
(주)메디젠휴먼케어,236340,2019/12,-1534,-1533,-1533,-1534,-1533,-1534,-1533,-3532775,-1533,0
(주)메디젠휴먼케어,236340,2020/12,-2,-2209,-2209,-2207,-2209,-2207,-2209,-5120327,-2209,0
(주)메디젠휴먼케어,236340,2021/12,,-1092,-1092,,-1092,,-1092,-2631970,-1092,0
(주)메디젠휴먼케어,236340,2022/12,,-969,-969,,-969,,-969,-2792081,-969,0
(주)무진메디,322970,2020/12,,,-293,,,,-293,-1977285,-293,0
(주)무진메디,322970,2021/12,,,-372,,,,-372,-2510603,-372,0
(주)무진메디,322970,2022/12,,,-411,,,,-411,-3027867,-411,0
(주)미래엔에듀파트너,208890,2014/12,,,245,,,,245,486941,245,0
(주)미래엔에듀파트너,208890,2015/12,0,116,116,0,116,0,116,230866,116,0
(주)미래엔에듀파트너,208890,2016/12,0,73,73,0,73,0,73,144508,73,0
(주)미래엔에듀파트너,208890,2017/12,144,162,162,144,162,144,162,322834,162,0
(주)미래엔에듀파트너,208890,2018/12,0,240,240,0,240,210,240,477967,240,0
(주)미래엔에듀파트너,208890,2019/12,0,79,79,177,79,177,79,159474,79,0
(주)미래엔에듀파트너,208890,2020/12,-1,-1264,-1264,-1490,-1264,-1490,-1264,-3089736,-1264,0
(주)미래엔에듀파트너,208890,2021/12,-1,-1289,-1289,-1293,-1289,-1293,-1289,-4060835,-1289,0
(주)미래엔에듀파트너,208890,2022/12,0,-266,-266,-300,-266,-300,-266,-838127,-266,0
(주)바스칸바이오제약,354390,2022/12,,24,24,,24,,24,167673,24,0
(주)바이오인프라생명과학,266470,2020/12,-327,-327,-327,-327,-327,-327,-327,-4524428,-327,0
(주)바이오인프라생명과학,266470,2021/12,,-166,-166,,-166,,-166,-2447669,-166,0
(주)바이오인프라생명과학,266470,2022/12,,-103,-103,,-103,,-103,-1455362,-103,0
(주)바이오프로테크,199290,2016/12,,,-1094,,,,-1094,-2621947,-1094,0
(주)바이오프로테크,199290,2017/12,,,-1850,,,,-1850,-5199154,-1850,0
(주)바이오프로테크,199290,2018/12,,,-20,,,,-20,63541,-20,0
(주)바이오프로테크,199290,2019/12,,,-6201,,,,-6201,-4487693,-1407,0
(주)바이오프로테크,199290,2020/12,,,-1437,,,,-1437,-9637147,-2989,0
(주)바이오프로테크,199290,2021/12,,,-466,,,,-466,-2413383,-466,0
(주)바이오프로테크,199290,2022/12,,,252,,,99,252,3736044,252,0
(주)볼빅,206950,2015/12,,,36,,,,36,142207,36,0
(주)볼빅,206950,2016/12,,,200,,,,200,801106,200,0
(주)볼빅,206950,2017/12,,,-502,,,,-502,-2013328,-502,0
(주)볼빅,206950,2018/12,,,616,,,,616,2539264,616,0
(주)볼빅,206950,2019/12,,,-1780,,,,-1780,-7446766,-1780,0
(주)볼빅,206950,2020/12,,,-781,,,,-781,-3265490,-781,0
(주)볼빅,206950,2021/12,,,-927,,,,-927,-3877992,-927,0
(주)볼빅,206950,2022/12,,,-2008,,,0,-2008,-9989352,-2008,0
(주)블루탑,191600,2016/12,,443,443,,443,,443,1150649,443,0
(주)블루탑,191600,2017/12,,-209,-209,,-209,,-209,-542517,-209,0
(주)블루탑,191600,2018/12,,230,230,,230,,230,598426,230,0
(주)블루탑,191600,2019/12,,168,168,,168,,168,436721,168,0
(주)블루탑,191600,2020/12,,-748,-748,,-748,,-748,-1301014,-468,0
(주)블루탑,191600,2021/12,,-579,-579,,-579,,-579,-1458278,-512,0
(주)블루탑,191600,2022/12,,213,213,,213,,213,605896,213,0
(주)비엘헬스케어,086220,2015/12,,-278,-278,,-278,,-278,-2032287,-278,0
(주)비엘헬스케어,086220,2016/12,,94,94,,94,,94,692210,94,0
(주)비엘헬스케어,086220,2017/12,,266,266,,266,,266,2230138,266,0
(주)비엘헬스케어,086220,2018/12,,46,46,,46,,46,434508,46,0
(주)비엘헬스케어,086220,2019/12,,-1290,-1290,,-1290,,-1290,-13639584,-1290,0
(주)비엘헬스케어,086220,2020/12,,330,330,,330,,330,3487270,330,0
(주)비엘헬스케어,086220,2021/12,,41,41,,41,,41,438500,41,0
(주)비엘헬스케어,086220,2022/12,,66,66,,66,,66,700928,66,0
