,회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(순금융비용),[U01250010]   이자비용(천원),[U01230000]영업이익(손실)(천원)
103,(주)구영테크,53270,2016/12,3.06,9.01,1342418.0,4114290.0
104,(주)구영테크,53270,2017/12,2.56,2.68,1183774.0,3025353.0
105,(주)구영테크,53270,2018/12,0.73,2.93,2230934.0,1638585.0
106,(주)구영테크,53270,2019/12,1.14,1.62,2208174.0,2513647.0
107,(주)구영테크,53270,2020/12,1.31,1.65,1816498.0,2377110.0
108,(주)구영테크,53270,2021/12,1.93,3.5,1612303.0,3116846.0
109,(주)구영테크,53270,2022/12,1.53,2.52,2808933.0,4306932.0
110,(주)국순당,43650,2012/12,999999999.0,999999999.0,0.0,6794416.0
111,(주)국순당,43650,2013/12,999999999.0,999999999.0,0.0,1187809.0
112,(주)국순당,43650,2014/12,999999999.0,999999999.0,0.0,881757.0
113,(주)국순당,43650,2015/12,999999999.0,999999999.0,0.0,-8305751.0
114,(주)국순당,43650,2016/12,999999999.0,999999999.0,0.0,-5456865.0
115,(주)국순당,43650,2017/12,999999999.0,999999999.0,0.0,-3584872.0
116,(주)국순당,43650,2018/12,999999999.0,999999999.0,0.0,-2751939.0
117,(주)국순당,43650,2019/12,999999999.0,999999999.0,0.0,-5440912.0
118,(주)국순당,43650,2020/12,999999999.0,999999999.0,0.0,5089339.0
119,(주)국순당,43650,2021/12,999999999.0,999999999.0,0.0,8341701.0
120,(주)국순당,43650,2022/12,999999999.0,999999999.0,0.0,8859102.0
121,(주)국영지앤엠,6050,2012/12,-4.57,29.45,326280.0,-1490604.0
122,(주)국영지앤엠,6050,2013/12,2.35,4.45,567496.0,1332568.0
123,(주)국영지앤엠,6050,2014/12,5.13,5.31,309643.0,1587301.0
124,(주)국영지앤엠,6050,2015/12,-15.79,999999999.0,65838.0,-1039280.0
125,(주)국영지앤엠,6050,2016/12,3.4,999999999.0,73083.0,248835.0
126,(주)국영지앤엠,6050,2017/12,17.57,999999999.0,80260.0,1410362.0
127,(주)국영지앤엠,6050,2018/12,-18.31,999999999.0,50253.0,-920018.0
128,(주)국영지앤엠,6050,2019/12,15.75,999999999.0,62923.0,991045.0
129,(주)국영지앤엠,6050,2020/12,-18.55,-53.29,111112.0,-2061462.0
130,(주)국영지앤엠,6050,2021/12,-46.71,-68.86,144288.0,-6739784.0
131,(주)국영지앤엠,6050,2022/12,8.72,22.69,243264.0,2121316.0
132,(주)국전약품,307750,2018/12,,,,
133,(주)국전약품,307750,2019/12,,,,
134,(주)국전약품,307750,2020/12,10.05,-3.31,575932.0,5790480.0
135,(주)국전약품,307750,2021/12,21.56,68.29,284473.0,6134658.0
136,(주)국전약품,307750,2022/12,2.01,15.52,1787549.0,3588481.0
137,(주)그린플러스,186230,2019/12,4.73,5.56,724906.0,3430717.0
138,(주)그린플러스,186230,2020/12,7.01,-2.54,772907.0,5419705.0
139,(주)그린플러스,186230,2021/12,8.37,-9.57,683199.0,5717708.0
140,(주)그린플러스,186230,2022/12,8.66,999999999.0,599542.0,5194822.0
141,(주)기가레인,49080,2013/12,5.66,6.23,2265353.0,12814521.0
142,(주)기가레인,49080,2014/12,8.77,14.34,1198208.0,10512950.0
143,(주)기가레인,49080,2015/12,-13.77,-15.92,1361044.0,-18745702.0
144,(주)기가레인,49080,2016/12,-4.42,-4.78,2181632.0,-9647595.0
145,(주)기가레인,49080,2017/12,1.84,1.37,2556780.0,4705145.0
146,(주)기가레인,49080,2018/12,-0.54,-3.37,3522776.0,-1892191.0
147,(주)기가레인,49080,2019/12,-7.54,-11.54,3546616.0,-26726549.0
148,(주)기가레인,49080,2020/12,-3.77,-5.6,3528421.0,-13301307.0
149,(주)기가레인,49080,2021/12,1.57,3.59,1779802.0,2797947.0
150,(주)기가레인,49080,2022/12,-7.71,-14.66,803081.0,-6191588.0
151,(주)기산텔레콤,35460,2012/12,3.47,3.37,1115594.0,3866590.0
152,(주)기산텔레콤,35460,2013/12,6.13,26.77,339996.0,2083934.0
153,(주)기산텔레콤,35460,2014/12,1.06,999999999.0,220402.0,234218.0
154,(주)기산텔레콤,35460,2015/12,0.86,999999999.0,174540.0,150840.0
155,(주)기산텔레콤,35460,2016/12,-21.26,999999999.0,92773.0,-1972410.0
156,(주)기산텔레콤,35460,2017/12,-15.43,999999999.0,54999.0,-848554.0
157,(주)기산텔레콤,35460,2018/12,-55.15,999999999.0,50596.0,-2790221.0
158,(주)기산텔레콤,35460,2019/12,18.65,999999999.0,137599.0,2565963.0
159,(주)기산텔레콤,35460,2020/12,-21.13,999999999.0,55075.0,-1163778.0
160,(주)기산텔레콤,35460,2021/12,-36.97,999999999.0,89314.0,-3302348.0
161,(주)기산텔레콤,35460,2022/12,7.39,999999999.0,155936.0,1151860.0
162,(주)나노,187790,2014/12,,,,
163,(주)나노,187790,2015/12,-3.85,-5.76,1882604.0,-7239111.0
164,(주)나노,187790,2016/12,-4.37,-6.54,2152166.0,-9411058.0
165,(주)나노,187790,2017/12,1.5,-2.11,1018886.0,1526011.0
166,(주)나노,187790,2018/12,0.7,-5.19,1111823.0,783196.0
167,(주)나노,187790,2019/12,1.2,1.5,1153732.0,1381812.0
168,(주)나노,187790,2020/12,0.49,-7.49,735609.0,360809.0
169,(주)나노,187790,2021/12,3.67,-35.66,686851.0,2519532.0
170,(주)나노,187790,2022/12,0.3,-8.29,1267491.0,377888.0
