회사명,거래소코드,회계년도,종가(원),현재까지 발행한 주식의 총수(주),현재까지 감소한 주식의 총수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),발행주식수(주),[U01B840000000]당기순이익(손실)(요약)(IFRS연결)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),[U01D101000000]   당기순손익(요약)(IFRS연결)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS연결)(백만원),[U01B840000000]당기순이익(손실)(요약)(IFRS)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS)(백만원),[U01D101000000]   당기순손익(요약)(IFRS)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS)(백만원),[U01119300]      *당기순이익(요약)(백만원),[U01218800]당기순이익(요약)(백만원),[U01219300]CPA수정후 당기순이익(요약)(백만원),[U01311400]   당기순이익(요약)(백만원),[U01410100]   당기순이익(요약)(백만원),[U01550700]   당기순이익(요약)(백만원),[U01A600000000]자본(*)(요약)(IFRS연결)(백만원),[U01A600000000]자본(*)(IFRS연결)(백만원),[U01A600000000]자본(*)(요약)(IFRS)(백만원),[U01A600000000]자본(*)(IFRS)(천원),[U01119400]자본총계(요약)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[U01410000]영업활동으로 인한 현금흐름(요약)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01B100000000]매출액(수익)(요약)(IFRS연결)(백만원),[U01B100000000]매출액(수익)(요약)(IFRS)(백만원),[U01210000]매출액(요약)(백만원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원)
(주)나눔테크,244880,2018/12,,5020000,0,5020000,5020000,5020000,,,,,,,,,2406,2406,2406,2406,2406,2406,,,,,7483,,7482816,,,2297,,,,2296635,,,11472,,,,11471634
(주)나눔테크,244880,2018/12,,5986000,966000,5020000,5020000,5020000,,,,,,,,,2406,2406,2406,2406,2406,2406,,,,,7483,,7482816,,,2297,,,,2296635,,,11472,,,,11471634
(주)나눔테크,244880,2019/12,,5020000,0,5020000,5020000,5020000,,,,,,,,,2905,2905,2905,2905,2905,2905,,,,,10388,,10387811,,,3371,,,,3371204,,,13604,,,,13603799
(주)나눔테크,244880,2019/12,,966000,966000,0,5020000,5020000,,,,,,,,,2905,2905,2905,2905,2905,2905,,,,,10388,,10387811,,,3371,,,,3371204,,,13604,,,,13603799
(주)나눔테크,244880,2019/12,,5986000,966000,5020000,5020000,5020000,,,,,,,,,2905,2905,2905,2905,2905,2905,,,,,10388,,10387811,,,3371,,,,3371204,,,13604,,,,13603799
(주)나눔테크,244880,2020/12,,966000,966000,0,5020000,5020000,,,,,,,,,1551,1551,1551,1551,1551,1551,,,,,11939,,11938654,,,1670,,,,1669748,,,8841,,,,8841307
(주)나눔테크,244880,2020/12,,5020000,0,5020000,5020000,5020000,,,,,,,,,1551,1551,1551,1551,1551,1551,,,,,11939,,11938654,,,1670,,,,1669748,,,8841,,,,8841307
(주)나눔테크,244880,2020/12,,5986000,966000,5020000,5020000,5020000,,,,,,,,,1551,1551,1551,1551,1551,1551,,,,,11939,,11938654,,,1670,,,,1669748,,,8841,,,,8841307
(주)나눔테크,244880,2021/12,,5020000,0,5020000,5020000,5020000,,,,,,,,,2347,2347,2347,2347,2347,2347,,,,,14286,,14285660,,,1846,,,,1846238,,,12773,,,,12772533
(주)나눔테크,244880,2021/12,,5986000,966000,5020000,5020000,5020000,,,,,,,,,2347,2347,2347,2347,2347,2347,,,,,14286,,14285660,,,1846,,,,1846238,,,12773,,,,12772533
(주)나눔테크,244880,2021/12,,966000,966000,0,5020000,5020000,,,,,,,,,2347,2347,2347,2347,2347,2347,,,,,14286,,14285660,,,1846,,,,1846238,,,12773,,,,12772533
