,회사명,거래소코드,회계년도,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01440000]투자활동으로 인한 현금흐름(*)(천원),[U01450000]재무활동으로 인한 현금흐름(*)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01440000]투자활동으로 인한 현금흐름(*)(연결)(천원),[U01450000]재무활동으로 인한 현금흐름(*)(연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(IFRS)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(비교)(IFRS)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(비교)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(비교)(IFRS연결)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(비교)(IFRS연결)(천원)
50,(주)노브메타파마,229500,2013/12,164741.0,-457698.0,1360000.0,,,,,,,,,,,,,,,
51,(주)노브메타파마,229500,2014/12,-179360.0,-1435932.0,2702632.0,,,,,,,,,,,,,,,
52,(주)노브메타파마,229500,2015/12,-634533.0,-6207308.0,7285966.0,,,,,,,-1433989.0,-5431935.0,7285966.0,,,,-1433989.0,-5431935.0,7285966.0
53,(주)노브메타파마,229500,2016/12,-3183368.0,2855955.0,-1317.0,-3450487.0,3406776.0,-1317.0,-3183368.0,2855955.0,-1317.0,-3183368.0,2855955.0,-1317.0,-3450487.0,3406776.0,-1317.0,-3450487.0,3406776.0,-1317.0
54,(주)노브메타파마,229500,2017/12,-5170714.0,-3335020.0,12291267.0,-4903536.0,-3418931.0,12291267.0,-5170714.0,-3335020.0,12291267.0,-5170714.0,-3335020.0,12291267.0,-4903536.0,-3418931.0,12291267.0,-4903536.0,-3418931.0,12291267.0
55,(주)노브메타파마,229500,2018/12,-9492884.0,3383316.0,-154613.0,-10340799.0,1381664.0,3485387.0,-9492884.0,3383316.0,-154613.0,-9492884.0,3383316.0,-154613.0,-10340799.0,1381664.0,3485387.0,-10340799.0,1381664.0,3485387.0
56,(주)노브메타파마,229500,2019/12,-11737311.0,910356.0,11220497.0,-12075377.0,78703.0,11220497.0,-11737311.0,910356.0,11220497.0,-11737311.0,910356.0,11220497.0,-12075377.0,78703.0,11220497.0,-12075377.0,78704.0,11220497.0
57,(주)노브메타파마,229500,2020/12,-4521303.0,-193742.0,5596059.0,-4979337.0,1900692.0,5114109.0,-4521303.0,-193742.0,5596059.0,-4521303.0,-193742.0,5596059.0,-4979337.0,1900692.0,5114109.0,-4979337.0,1900692.0,5114109.0
58,(주)노브메타파마,229500,2021/12,-3928781.0,-3488833.0,7885265.0,-4521511.0,-2795397.0,6685265.0,-3928781.0,-3488833.0,7885265.0,-4521511.0,-2795396.0,6685265.0,-4521511.0,-2795397.0,6685265.0,,,
59,(주)노브메타파마,229500,2022/12,-4030786.0,2775805.0,-114033.0,,,,-4030786.0,2775805.0,-114033.0,,,,,,,,,
60,(주)다원넥스뷰,323350,2017/12,451086.0,-367112.0,-121224.0,,,,,,,,,,,,,,,
61,(주)다원넥스뷰,323350,2018/12,448821.0,-725165.0,310236.0,,,,,,,,,,,,,,,
62,(주)다원넥스뷰,323350,2019/12,-1961908.0,-285546.0,2862354.0,,,,,,,,,,,,,,,
63,(주)다원넥스뷰,323350,2020/12,3105867.0,-2330315.0,758500.0,,,,,,,,,,,,,,,
64,(주)다원넥스뷰,323350,2021/12,850594.0,-450802.0,-650000.0,,,,,,,934326.0,-450852.0,-734280.0,,,,,,
65,(주)다원넥스뷰,323350,2022/12,-276653.0,-180049.0,223690.0,,,,-276653.0,-180049.0,223690.0,,,,,,,,,
66,(주)더콘텐츠온,302920,2013/12,-2105138.0,-1114060.0,3436975.0,,,,,,,,,,,,,,,
67,(주)더콘텐츠온,302920,2014/12,546674.0,-591414.0,-285000.0,,,,,,,,,,,,,,,
68,(주)더콘텐츠온,302920,2015/12,-2770049.0,-2636290.0,4688638.0,,,,,,,,,,,,,,,
69,(주)더콘텐츠온,302920,2016/12,2674259.0,-1122425.0,-854387.0,,,,,,,,,,,,,,,
70,(주)더콘텐츠온,302920,2017/12,1504362.0,-1778368.0,775019.0,,,,,,,,,,,,,,,
71,(주)더콘텐츠온,302920,2018/12,151440.0,-3399607.0,4685765.0,,,,,,,,,,,,,,,
72,(주)더콘텐츠온,302920,2019/12,-575515.0,-2426304.0,1806397.0,,,,,,,,,,,,,,,
73,(주)더콘텐츠온,302920,2020/12,4606026.0,-7090450.0,3807113.0,,,,,,,,,,,,,,,
74,(주)더콘텐츠온,302920,2021/12,880822.0,-1400323.0,-91401.0,,,,,,,,,,,,,,,
75,(주)더콘텐츠온,302920,2022/12,3416710.0,-3312354.0,-918154.0,,,,,,,,,,,,,,,
76,(주)데이터스트림즈,199150,2013/12,-215040.0,9510.0,0.0,,,,,,,,,,,,,,,
77,(주)데이터스트림즈,199150,2014/12,605619.0,-289930.0,0.0,,,,,,,,,,,,,,,
78,(주)데이터스트림즈,199150,2015/12,14197.0,-185089.0,0.0,,,,,,,17699.0,-188591.0,0.0,,,,-37529.0,-98508.0,0.0
79,(주)데이터스트림즈,199150,2016/12,300828.0,-591442.0,140800.0,237215.0,-457323.0,140800.0,300828.0,-591442.0,140800.0,300828.0,-591442.0,140800.0,237215.0,-457323.0,140800.0,237215.0,-457323.0,140800.0
