,회사명,거래소코드,회계년도,부실판단,기업수명주기
219,덕은인터라인정유(주),13939,2015,1.0,쇠퇴기
220,진해물산주식회사,13942,2014,1.0,도입기
221,덕흥제선주식회사,13946,2014,1.0,도입기
222,가나안상사주식회사,13970,2021,1.0,쇠퇴기
223,도진물산(주),13983,2014,1.0,쇠퇴기
224,동화이에스주식회사,13984,2018,1.0,쇠퇴기
225,주식회사동광인터내셔날,13994,2020,1.0,성장기
226,성운개발(주),13996,2014,1.0,도입기
227,동광정밀(주),13998,2020,1.0,성장기
228,동광화학,14002,2015,1.0,도입기
229,(주)북플러스,14009,2019,1.0,쇠퇴기
230,참손푸드주식회사,14027,2015,1.0,성장기
231,동남주택산업주식회사,14035,2014,1.0,쇠퇴기
232,(주)디에이치에스앤이,14038,2020,1.0,성장기
233,(주)동도전자,14041,2018,1.0,쇠퇴기
234,주식회사동림,14045,2020,1.0,쇠퇴기
235,주식회사이동수에프엔지,14048,2018,1.0,쇠퇴기
236,주식회사디엠씨,14054,2014,1.0,도입기
237,동미전기공업주식회사,14057,2014,1.0,쇠퇴기
238,(주)동방플랜텍,14061,2019,1.0,도입기
239,주식회사팩슨,14066,2021,1.0,성숙기
240,동방콘크리트공업주식회사,14070,2020,1.0,성장기
241,동보체인공업주식회사,14074,2022,1.0,성숙기
242,(주)디에스종합건설,14076,2014,1.0,도입기
243,제이레저주식회사,14087,2014,1.0,쇠퇴기
244,주식회사동성씨-테크,14120,2014,1.0,쇠퇴기
245,(주)동숭아트센터,14121,2014,1.0,도입기
246,동신산업(주),14128,2021,1.0,성숙기
247,동신운수(주),14130,2022,1.0,성숙기
248,(주)동신유압,14132,2016,1.0,도입기
249,동아강업주식회사,14139,2020,1.0,성장기
250,동아서적주식회사,14147,2015,1.0,쇠퇴기
251,주식회사동아일렉콤,14156,2016,1.0,쇠퇴기
252,동아베스텍주식회사,14158,2019,1.0,쇠퇴기
253,참빛산업(주),14167,2015,1.0,성숙기
254,동아흥업주식회사,14170,2014,1.0,도입기
255,동양고속훼리(주),14177,2014,1.0,쇠퇴기
256,동양산업주식회사,14182,2014,1.0,성숙기
257,동양섬유(주),14190,2014,1.0,성숙기
258,동양화학(주),14209,2014,1.0,성장기
259,(주)티와이밸브,14213,2014,1.0,쇠퇴기
260,(주)자은전자,14215,2015,1.0,쇠퇴기
261,디에이치코리아(주),14244,2014,1.0,쇠퇴기
262,(주)동원파이프,14247,2020,1.0,성장기
263,동은개발진흥(주),14250,2014,1.0,도입기
264,동익건설주식회사,14253,2019,1.0,쇠퇴기
265,동일건설(주),14257,2015,1.0,도입기
266,동일조선(주),14268,2018,1.0,도입기
267,(주)에렉스,14280,2015,1.0,쇠퇴기
268,동진건설(주),14286,2021,1.0,도입기
269,주식회사삼호에너지,14293,2014,1.0,쇠퇴기
270,동헌산업주식회사,14311,2021,1.0,도입기
271,동호에이텍,14315,2020,1.0,쇠퇴기
272,동화기업주식회사,14319,2014,1.0,도입기
273,동화산업주식회사,14323,2017,1.0,성숙기
274,동화투자개발(주),14330,2014,1.0,성장기
275,(주)동환물산,14333,2016,1.0,도입기
276,삼성다이나에이치백(주),14334,2014,1.0,도입기
277,두고테크주식회사,14339,2014,1.0,도입기
278,주식회사두성특장차,14358,2019,1.0,성장기
279,(주)듀링,14374,2020,1.0,성장기
280,(주)디엠디스플레이,14404,2020,1.0,도입기
281,(주)디오원,14407,2017,1.0,쇠퇴기
282,디케이코리아주식회사,14424,2014,1.0,성장기
283,(주)화인시스템,14453,2015,1.0,도입기
284,로얄앤컴퍼니(주),14470,2015,1.0,쇠퇴기
285,주식회사리브로,14507,2019,1.0,성숙기
286,알앤투주식회사,14512,2014,1.0,쇠퇴기
287,(주)엠비씨경남,14519,2019,1.0,쇠퇴기
288,마스터스통상(주),14523,2016,1.0,도입기
289,(주)마주코통상,14532,2015,1.0,성숙기
290,마천건설(주),14533,2020,1.0,쇠퇴기
291,명성운수주식회사,14573,2014,1.0,성장기
292,(주)문영건설,14611,2014,1.0,도입기
293,문화직물,14617,2016,1.0,쇠퇴기
294,(주)미건의료기,14619,2014,1.0,도입기
295,(주)부성티에프시,14621,2020,1.0,도입기
296,미래건설(주),14630,2014,1.0,쇠퇴기
297,주식회사미륭산업,14641,2020,1.0,쇠퇴기
298,미진건설주식회사,14658,2022,1.0,쇠퇴기
299,미화콘크리트주식회사,14662,2018,1.0,쇠퇴기
300,바이켐주식회사,14681,2019,1.0,성장기
301,주식회사방주,14701,2019,1.0,쇠퇴기
302,백남관광주식회사,14705,2022,1.0,쇠퇴기
303,(주)범우,14733,2021,1.0,쇠퇴기
304,보광개발(주),14767,2014,1.0,도입기
305,보국전기공업주식회사,14770,2017,1.0,쇠퇴기
306,보끄레머천다이징,14771,2017,1.0,도입기
307,보령물산(주),14781,2016,1.0,도입기
308,(주)보령홀딩스,14782,2021,1.0,도입기
309,보명실업(주),14787,2014,1.0,쇠퇴기
