회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치,총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,쭈피처,영업투자현금비율,영업재무현금비율,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)에이치케이세미텍,72891,2022,3.66,6.18,2.42,0.85,143.51,103.42,195.17,194.98,39.14,28.74,17.4,94.79,33.88,2.98,1.29,0.34,4.37,3.36,0.91,-0.01,-0.021137435851428,84.58314639984545,84.58,90.46,18.18,-0.45,-3.66,3226.44,10.66,580.1,3.73,9.17,25.91,2.859018615333315,18.44,5.63,152.73,3.78,3.71,59.48,3.96,13.0,0.0498543144082887,0.0786270050223499,-0.0766389029535865,1,0,0,0,0.0
대림철강주식회사,13608,2022,-4.0,-7.81,-2.76,-1.45,119.9,68.41,223.84,214.26,35.4,13.17,19.36,79.33,30.88,9.86,3.58,1.53,5.78,5.42,2.51,0.61,0.0440948437281667,30.775295128830805,30.78,42.54,-0.68,24.16,-2.1,4528.05,7.77,58.43,4.08,37.45,67.39,1.904311844033724,6.46,5.0,14.04,2.34,2.16,9.18,2.82,39.0,0.0214358664126197,31.90850718052469,-0.4764403843243461,1,0,0,0,0.0
신스틸(주),44580,2022,4.42,7.72,2.57,2.27,185.17,145.05,139.31,94.97,33.33,33.8,44.55,73.49,41.79,8.69,3.61,3.08,6.57,6.0,5.17,0.89,-0.1210061031394073,4.6056963596134,4.61,4.44,5.07,-3.85,-1.09,5583.35,8.06,32.87,7.1,43.32,72.93,1.1345316252555284,5.71,2.1,4.6,1.17,1.16,4.39,1.58,37.0,0.0242288984474308,0.2267521621879799,-0.1340380087769697,1,0,0,0,0.0
신도경금속주식회사,52737,2022,-5.4,-6.63,-4.18,-5.91,38.87,30.33,345.58,334.94,63.14,-45.95,5.06,29.22,22.44,-5.34,-1.26,-1.74,2.11,2.01,2.78,3.54,0.1488387803165486,4.388488046207478,4.39,22.85,-1.71,2.86,-1.43,641.43,4.6,6.54,6.49,-26.81,51.13,0.7086373098345676,3.99,3.28,1.0,0.73,0.72,0.99,2.67,18.0,0.052109146011889,26.56630205997033,-0.6874697525738216,1,0,0,0,0.0
(주)그랜드농산,78596,2018,-2.55,-2.92,-2.0,-1.49,113.7,29.77,362.04,173.62,68.3,5.15,0.66,42.73,21.64,11.34,2.51,1.74,6.2,6.2,4.31,2.2,0.0405650478984044,16.464028395398667,16.46,21.14,13.2,38.71,13.05,3600.75,17.43,30.97,13.03,13.33,54.46,1.3369172138837908,12.74,10.96,2.52,1.44,1.44,2.48,3.43,21.0,0.1507816422942799,0.076768278568713,-0.07414827932388,1,0,0,0,0.0
주식회사홍진하우징,98000,2022,-9.84,-16.65,-7.16,-14.29,119.71,30.03,267.04,141.73,43.02,7.61,13.4,46.23,27.24,51.61,16.68,22.3,24.2,24.16,32.83,3.96,0.466870209819035,175.68544433642697,176.41,50.91,757.85,130.3,943.32,16617.6,19.3,41.87,38.51,57.92,87.97,0.5011614724890757,378.1429999999991,3.82,1.98,0.75,0.74,1.89,1.3,6.0,0.0927767694679271,0.2896574348967434,-0.2484198292153597,1,0,0,0,0.0
(주)에이치케이씨,20019,2022,-10.43,-17.28,-8.75,-9.65,99.24,35.58,521.44,487.31,50.64,-0.6,10.08,77.82,16.09,19.62,3.79,3.25,7.15,6.53,5.68,0.92,0.1306365890978564,72.9599151124552,72.96,138.18,-11.78,67.82,-1.85,6174.35,10.41,104.44,11.48,28.32,68.77,0.9067361136482648,98.07,5.75,9.01,1.16,1.15,3.83,1.64,55.0,0.0464409773145495,0.0773712485953117,-0.0513056080602922,1,0,0,0,0.0
주식회사쟈뎅,29945,2022,1.48,1.78,1.04,0.67,92.62,47.27,239.71,228.78,58.53,-4.97,1.02,62.38,29.44,-16.59,-6.3,-3.49,-3.1,-3.19,-1.95,1.58,-0.2431825448139172,12.261151181024893,12.26,9.64,16.89,8.07,12.12,6901.5,11.74,42.32,7.58,-45.99,18.14,1.547587013167791,11.66,4.8,5.09,1.81,1.64,4.43,2.6,40.0,0.3571634293496375,0.4994014346502607,-0.3792876062339408,1,0,0,0,0.0
에스엘티(주),98791,2022,12.66,38.71,10.09,14.78,88.34,31.12,391.68,314.13,26.06,-7.45,5.66,56.44,20.34,47.03,10.19,11.35,14.82,14.46,18.32,0.53,-0.4393501725901433,37.05353861221259,37.05,49.59,23.63,-14.93,13.04,10407.63,14.92,47.02,21.86,51.91,70.97,0.6824343821404618,6.27,2.83,2.28,0.9,0.79,1.73,1.45,5.0,0.2147997487440721,0.8902983991743968,-2.8162657127938964,1,0,0,0,0.0
주식회사노마드,98486,2022,0.79,0.87,0.48,0.86,123.02,49.72,155.99,72.21,55.33,6.49,19.96,34.7,39.06,11.85,4.99,7.78,9.02,9.0,14.95,2.09,-0.4798736229568671,15.326709070539094,15.33,5.15,21.58,-26.05,20.85,3573.53,13.86,25.14,24.67,31.55,65.31,0.5618735379642783,11.68,3.36,0.98,0.64,0.6,0.94,1.66,18.0,0.2043840486495391,0.1767411113207488,-0.2770139780522235,1,0,0,0,0.0
