회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01220010]매출원가(*)(연결)(천원),[U01221340]매출총이익(손실)(연결)(천원),[U01222170]판매비와관리비(영업비용)(*)(연결)(천원),[U01230000]영업이익(손실)(연결)(천원),[U01290000]법인세비용차감전(계속사업)손익(연결)(천원),[U01290100](계속사업손익)법인세비용(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원)
(주)로보쓰리에이아이앤로보틱스,238500,2017/12,,,,,,,,28331,36887,-8556,-847218,-847218,-890644,-188444,,,,,,,,28331,36887,-8556,838662,-847218,-890644
(주)로보쓰리에이아이앤로보틱스,238500,2018/12,,,,,,,,174240,128669,45571,-795280,-795280,-825663,-175829,,,,,,,,174240,128669,45571,840851,-795280,-825663
(주)로보쓰리에이아이앤로보틱스,238500,2019/12,,,,,,,,227567,220145,7421,-720948,-720948,-1987053,551880,,,,,,,,227567,220145,7421,728369,-720948,-1987053
(주)로보쓰리에이아이앤로보틱스,238500,2020/12,,,,,,,,1207596,1186007,21589,-450848,-450848,-471741,0,,,,,,,,1207596,1186007,21589,472437,-450848,-471741
(주)로보쓰리에이아이앤로보틱스,238500,2021/12,,,,,,,,90552,2498,88054,-1462707,-1462707,-1469436,0,,,,,,,,90552,2498,88054,1550761,-1462707,-1469436
(주)로보쓰리에이아이앤로보틱스,238500,2022/12,,,,,,,,1366815,1609516,-242700,-2577898,-2577898,-4247477,0,,,,,,,,1366815,1609516,-242700,2335198,-2577898,-4247477
(주)로지스몬,223220,2015/12,20093215,15362634,4730582,-1957734,-1957734,-2384569,-454824,20086415,15378234,4708182,-1449584,-1449584,-1876093,-454824,20093215,15362634,4730582,6688316,-1957734,-2384569,-454824,20086415,15378234,4708182,6157765,-1449584,-1876093
(주)로지스몬,223220,2016/12,5980002,6185161,-205159,-3124801,-3124801,-3204428,192101,5980002,6185161,-205159,-2880532,-2880532,-3059062,192101,5980002,6185161,-205159,2919641,-3124801,-3204428,192101,5980002,6185161,-205159,2675372,-2880532,-3059062
(주)로지스몬,223220,2017/12,,,,,,,,1753050,3705421,-1952371,-3632416,-3632416,-5339593,236144,,,,,,,,1753050,3705421,-1952371,1680045,-3632416,-5339593
(주)로지스몬,223220,2018/12,,,,,,,,367341,353279,14062,-690949,-690949,-496265,-178669,,,,,,,,367341,353279,14062,705011,-690949,-496265
(주)로지스몬,223220,2019/12,,,,,,,,223460,373441,-149980,-696960,-696960,-2521503,-38753,,,,,,,,223460,373441,-149980,546979,-696960,-2521503
(주)로지스몬,223220,2020/12,,,,,,,,143427,392803,-249377,-932569,-932569,-1117417,6069,,,,,,,,143427,392803,-249377,683192,-932569,-1117417
(주)로지스몬,223220,2021/12,,,,,,,,186942,397108,-210166,-1492366,-1492366,-1702778,16427,,,,,,,,186942,397108,-210166,1282200,-1492366,-1702778
(주)로지스몬,223220,2022/12,,,,,,,,8806161,8729713,76448,-1139940,-1139940,-1040947,-223619,,,,,,,,8806161,8729713,76448,1216388,-1139940,-1040947
(주)루켄테크놀러지스,162120,2017/12,,,,,,,,,,,,,,,,,,,,,,36197148,27827229,8369919,6521767,1848152,335451
(주)루켄테크놀러지스,162120,2018/12,,,,,,,,,,,,,,,,,,,,,,25651492,19767969,5883523,4821411,1062112,384345
(주)루켄테크놀러지스,162120,2019/12,,,,,,,,,,,,,,,,,,,,,,33710700,29046398,4664301,3809395,854906,612387
(주)루켄테크놀러지스,162120,2020/12,,,,,,,,16089022,20975087,-4886065,-8782177,-8782177,-26376248,-1993664,,,,,,,,16089022,20975087,-4886065,3896112,-8782177,-26376248
