,회사명,거래소코드,회계년도,GAAP(개별) 기업수명주기,GAAP(연결) 기업수명주기,IFRS(개별) 기업수명주기,IFRS(개별)(비교) 기업수명주기,IFRS(연결) 기업수명주기,IFRS(연결)(비교) 기업수명주기
8180,(주)화인써키트,127980,2019/12,성숙기,,,성숙기,,
8181,(주)화인써키트,127980,2020/12,,,,,,
8182,(주)화인써키트,127980,2021/12,성숙기,,성숙기,성숙기,,
8183,(주)화인써키트,127980,2022/12,,,,,,
8184,(주)휴네시온,290270,2017/12,성장기,성장기,성장기,성장기,성장기,성장기
8185,(주)휴네시온,290270,2018/12,성장기,성장기,성장기,성장기,성장기,성장기
8186,(주)휴네시온,290270,2019/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8187,(주)휴네시온,290270,2020/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8188,(주)휴네시온,290270,2021/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8189,(주)휴네시온,290270,2022/12,성숙기,성숙기,성숙기,,성숙기,
8190,(주)휴럼,353190,2020/12,,,,,,
8191,(주)휴럼,353190,2021/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
8192,(주)휴럼,353190,2022/12,도입기,도입기,도입기,,도입기,
8193,(주)휴림에이텍,78590,2012/12,성장기,,성장기,성장기,,
8194,(주)휴림에이텍,78590,2013/12,성숙기,,성숙기,성숙기,,
8195,(주)휴림에이텍,78590,2014/12,성장기,,성장기,성장기,,
8196,(주)휴림에이텍,78590,2015/12,성장기,,성장기,성장기,,
8197,(주)휴림에이텍,78590,2016/12,,,,,,
8198,(주)휴림에이텍,78590,2017/12,성장기,,성장기,성장기,,성장기
8199,(주)휴림에이텍,78590,2018/12,성장기,성장기,성장기,성장기,성장기,성장기
8200,(주)휴림에이텍,78590,2019/12,성장기,,성장기,성장기,,
8201,(주)휴림에이텍,78590,2020/12,도입기,성장기,도입기,성장기,성장기,
