,회사명,거래소코드,회계년도,PER,PBR,PCR,PSR
973,(주)매직마이크로,127160,2018/12,-17.461928934010153,2780.788863693182,-341936.83242167236,2528.3598182987735
974,(주)매직마이크로,127160,2019/12,-1.7316017316017316,844.9226482119344,8403.823247984088,666.5640701062043
975,(주)매직마이크로,127160,2020/12,-0.5755813953488372,1174.510123125976,-10657.415523372285,471.7335639446055
976,(주)매커스,93520,2012/12,5.336879432624113,850.9124102467351,13100.898784657751,474.2027372996197
977,(주)매커스,93520,2013/12,7.5396825396825395,1155.7839658140233,2084.1694023725727,592.8562925176384
978,(주)매커스,93520,2014/12,6.7032967032967035,1036.8393528352585,-2241.8817600022235,619.5658493779607
979,(주)매커스,93520,2015/12,10.08130081300813,1479.4965701943197,4097.2439750851945,816.2406109198649
980,(주)매커스,93520,2016/12,13.604166666666666,1285.2606878364606,-11229.542830051449,779.2130981344214
981,(주)매커스,93520,2017/12,9.752358490566039,1423.2341500971636,6370.34803951892,765.0037363453418
982,(주)매커스,93520,2018/12,5.888252148997134,1282.3804260120214,9658.226860708457,741.2893699630873
983,(주)매커스,93520,2019/12,9.494949494949495,1159.5063478219543,30453.13783961063,1057.2494255284296
984,(주)매커스,93520,2020/12,7.977707006369426,1439.9285828090035,-102225.60241169186,931.7023590255673
985,(주)매커스,93520,2021/12,4.828622970535178,1633.9543400671942,9142.706851956758,922.2812478382306
986,(주)매커스,93520,2022/12,3.9979757085020244,1367.7201576446244,4812.720589199744,658.9911553565063
987,(주)맥스트,377030,2021/12,-125.55147058823529,37562.91001815142,-170687.129924479,246466.0314911003
988,(주)맥스트,377030,2022/12,-15.379746835443038,6259.193329576898,-28445.443704065063,82098.32285983885
989,(주)메드팩토,235980,2019/12,-27.113970588235293,5677.763737966656,-29386.97482667007,
990,(주)메드팩토,235980,2020/12,-94.23538831064852,42953.48726034465,-102402.48170135194,
991,(주)메드팩토,235980,2021/12,-70.4326923076923,28053.320128776126,-48563.762194732866,
992,(주)메드팩토,235980,2022/12,-13.049853372434018,14567.92589042502,-15900.517819402727,
993,(주)메디아나,41920,2014/12,19.90049751243781,3174.4840088171077,118865.1415966594,2259.0944147838527
994,(주)메디아나,41920,2015/12,19.15650406504065,3899.4053388152943,17741.62451600878,2912.105866935222
995,(주)메디아나,41920,2016/12,16.683621566632755,3318.677835586323,17306.346414738317,2656.968800910337
996,(주)메디아나,41920,2017/12,19.898373983739837,1807.914846646287,37394.658337152796,1617.3398206171269
997,(주)메디아나,41920,2018/12,12.836134453781513,1069.0464201250388,14243.893453491004,1128.7378320318974
998,(주)메디아나,41920,2019/12,10.460358056265985,1242.784629168689,5808.846116557895,1462.0095748626045
999,(주)메디아나,41920,2020/12,12.645011600928074,2070.525263358962,15034.95486769116,2094.7462462126887
