회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS),감사의견코드(IFRS)(백만원)
(주)나노신소재,121600,2021/12,27.12,10782,UQ
(주)나노신소재,121600,2022/12,49.86,20369,UQ
(주)나래나노텍,137080,2022/12,1.34,-17092,UQ
(주)나이벡,138610,2012/12,-2.68,-98,UQ
(주)나이벡,138610,2013/12,-5.06,-1815,UQ
(주)나이벡,138610,2014/12,-5.51,-904,UQ
(주)나이벡,138610,2015/12,-3.41,-2134,UQ
(주)나이벡,138610,2016/12,-3.51,-372,UQ
(주)나이벡,138610,2017/12,-1.81,563,UQ
(주)나이벡,138610,2018/12,-4.64,-2307,UQ
(주)나이벡,138610,2019/12,-2.23,-868,UQ
(주)나이벡,138610,2020/12,-15.18,-502,UQ
(주)나이벡,138610,2021/12,-1.15,818,UQ
(주)나이벡,138610,2022/12,0.26,5440,UQ
(주)나인테크,267320,2017/12,,,UQ
(주)나인테크,267320,2018/12,,,UQ
(주)나인테크,267320,2019/12,,,UQ
(주)나인테크,267320,2020/12,6.99,-6114,UQ
(주)나인테크,267320,2021/12,-5.53,-8556,UQ
(주)나인테크,267320,2022/12,1.23,3931,UQ
(주)남성,004270,2012/12,0.96,-4200,UQ
(주)남성,004270,2013/12,0.96,14321,UQ
(주)남성,004270,2014/12,1.35,-7545,UQ
(주)남성,004270,2015/12,1.29,-7703,UQ
(주)남성,004270,2016/12,1.25,3352,UQ
(주)남성,004270,2017/12,1.9,16435,UQ
(주)남성,004270,2018/12,1.15,-465,UQ
(주)남성,004270,2019/12,2,-4419,UQ
(주)남성,004270,2020/12,1.69,78,UQ
(주)남성,004270,2021/12,4.06,-4317,UQ
(주)남성,004270,2022/12,1.79,-16869,UQ
(주)내츄럴엔도텍,168330,2013/12,999999999,25399,UQ
(주)내츄럴엔도텍,168330,2014/12,4036.59,10421,UQ
(주)내츄럴엔도텍,168330,2015/12,-784.12,-7009,UQ
(주)내츄럴엔도텍,168330,2016/12,-34.43,-18242,UQ
