,회사명,거래소코드,회계년도,부실판단,기업수명주기
52,에쓰씨엔지니어링(주),23960,2014,1.0,도입기
53,이화전기공업(주),24810,2014,1.0,쇠퇴기
54,에이치엘비이노베이션(주),24850,2015,1.0,쇠퇴기
55,미래산업(주),25560,2014,1.0,도입기
56,제이준코스메틱(주),25620,2014,1.0,쇠퇴기
57,신라에스지(주),25870,2022,1.0,도입기
58,한국주강(주),25890,2018,1.0,쇠퇴기
59,서울전자통신(주),27040,2014,1.0,도입기
60,(주)코리아나화장품,27050,2020,1.0,쇠퇴기
61,(주)상보,27580,2016,1.0,성장기
62,에이치엘비(주),28300,2014,1.0,도입기
63,(주)광무,29480,2019,1.0,도입기
64,에스유홀딩스(주),31860,2014,1.0,쇠퇴기
65,(주)피델릭스,32580,2019,1.0,도입기
66,(주)엠젠솔루션,32790,2014,1.0,성숙기
67,(주)우리기술,32820,2014,1.0,도입기
68,더라미(주),32860,2014,1.0,도입기
69,바이온(주),32980,2017,1.0,도입기
70,(주)케이에이치필룩스,33180,2020,1.0,성숙기
71,(주)엠투엔,33310,2019,1.0,성장기
72,(주)좋은사람들,33340,2017,1.0,성숙기
73,(주)스카이문스테크놀로지,33790,2017,1.0,도입기
74,조아제약(주),34940,2016,1.0,성숙기
75,(주)골드앤에스,35290,2014,1.0,도입기
76,(주)기산텔레콤,35460,2017,1.0,성숙기
77,(주)바른손이앤에이,35620,2014,1.0,도입기
78,(주)클라우드에어,36170,2020,1.0,쇠퇴기
79,감성코퍼레이션(주),36620,2014,1.0,도입기
80,(주)무궁화인포메이션테크놀로지,38340,2014,1.0,도입기
81,(주)케이바이오컴퍼니,38530,2014,1.0,도입기
82,(주)파인디지털,38950,2017,1.0,쇠퇴기
83,(주)오스코텍,39200,2014,1.0,쇠퇴기
84,(주)다산네트웍스,39560,2017,1.0,성장기
85,(주)디오,39840,2014,1.0,도입기
86,(주)큐로컴,40350,2018,1.0,쇠퇴기
87,(주)에스지엔지,40610,2020,1.0,성숙기
88,(주)폴라리스오피스,41020,2017,1.0,도입기
89,(주)플래스크,41590,2017,1.0,성장기
90,(주)코미팜,41960,2014,1.0,도입기
91,(주)케이피엠테크,42040,2017,1.0,도입기
92,(주)상지카일룸,42940,2014,1.0,성숙기
93,(주)솔고바이오메디칼,43100,2014,1.0,성숙기
94,(주)파루,43200,2018,1.0,쇠퇴기
95,(주)티에스넥스젠,43220,2014,1.0,도입기
96,성호전자(주),43260,2014,1.0,성숙기
97,(주)디지아이,43360,2015,1.0,쇠퇴기
98,웰킵스하이텍(주),43590,2015,1.0,성장기
99,(주)국순당,43650,2017,1.0,쇠퇴기
100,(주)서울리거,43710,2015,1.0,도입기
101,(주)자연과환경,43910,2016,1.0,도입기
102,KD(주),44180,2014,1.0,도입기
103,(주)주연테크,44380,2014,1.0,쇠퇴기
104,에이치엔에스하이텍(주),44990,2021,1.0,성장기
105,성우테크론(주),45300,2014,1.0,성장기
106,(주)오르비텍,46120,2019,1.0,도입기
107,에이치엘비파나진(주),46210,2014,1.0,도입기
108,(주)한빛소프트,47080,2017,1.0,쇠퇴기
109,(주)이스트소프트,47560,2014,1.0,쇠퇴기
110,(주)코데즈컴바인,47770,2014,1.0,쇠퇴기
111,(주)초록뱀미디어,47820,2014,1.0,쇠퇴기
112,에이치엘비제약(주),47920,2017,1.0,쇠퇴기
113,현대바이오사이언스(주),48410,2017,1.0,쇠퇴기
114,(주)티피씨메카트로닉스,48770,2018,1.0,성장기
115,(주)시너지이노베이션,48870,2014,1.0,도입기
116,(주)기가레인,49080,2017,1.0,도입기
117,(주)파인디앤씨,49120,2020,1.0,쇠퇴기
118,(주)셀루메드,49180,2015,1.0,도입기
119,에스지에이(주),49470,2014,1.0,성장기
120,유아이엘(주),49520,2020,1.0,도입기
121,(주)잉크테크,49550,2015,1.0,성장기
122,(주)미래컴퍼니,49950,2016,1.0,쇠퇴기
123,(주)비케이홀딩스,50090,2014,1.0,성숙기
124,(주)ES큐브,50120,2020,1.0,쇠퇴기
125,와이더블유(주),51390,2016,1.0,쇠퇴기
126,진양화학(주),51630,2019,1.0,성숙기
127,(주)큐로홀딩스,51780,2014,1.0,성숙기
128,(주)중앙첨단소재,51980,2015,1.0,쇠퇴기
129,(주)씨티프라퍼티,52300,2014,1.0,성숙기
130,오성첨단소재(주),52420,2014,1.0,도입기
131,(주)아이톡시,52770,2018,1.0,도입기
132,(주)아이앤씨테크놀로지,52860,2014,1.0,쇠퇴기
133,(주)한국테크놀로지,53590,2015,1.0,도입기
134,(주)삼진엘앤디,54090,2014,1.0,성숙기
135,(주)메디콕스,54180,2022,1.0,도입기
136,(주)팬스타엔터프라이즈,54300,2014,1.0,쇠퇴기
137,(주)에이피에스,54620,2019,1.0,도입기
138,(주)에이디칩스,54630,2014,1.0,쇠퇴기
139,(주)한컴위드,54920,2015,1.0,도입기
140,이노시스(주),56090,2017,1.0,도입기
141,씨앤티85(주),56730,2014,1.0,도입기
142,(주)티사이언티픽,57680,2014,1.0,쇠퇴기
143,(주)피에이치씨,57880,2014,1.0,쇠퇴기
144,(주)아리온테크놀로지,58220,2018,1.0,도입기
145,(주)엔터파트너즈,58450,2019,1.0,도입기
146,파나케이아(주),58530,2016,1.0,도입기
147,(주)미코,59090,2014,1.0,성숙기
148,(주)아이컴포넌트,59100,2014,1.0,성장기
149,소니드(주),60230,2016,1.0,성장기
150,(주)룽투코리아,60240,2015,1.0,도입기
151,(주)뉴보텍,60260,2022,1.0,도입기
152,(주)케이에이치바텍,60720,2018,1.0,도입기
153,대한그린파워(주),60900,2014,1.0,쇠퇴기
154,(주)티엘아이,62860,2018,1.0,성숙기
155,(주)웨스트라이즈,64090,2016,1.0,도입기
156,(주)테크엘,64520,2018,1.0,도입기
157,(주)바이오니아,64550,2014,1.0,도입기
158,(주)젬백스링크,64800,2017,1.0,성장기
159,(주)케이프,64820,2014,1.0,쇠퇴기
160,(주)지엔코,65060,2020,1.0,도입기
161,(주)디에스이엔,65150,2017,1.0,쇠퇴기
162,(주)비엘팜텍,65170,2014,1.0,도입기
163,(주)에스아이리소스,65420,2014,1.0,성장기
164,(주)이루온,65440,2016,1.0,성장기
165,(주)오리엔트정공,65500,2020,1.0,성장기
166,(주)녹원씨엔아이,65560,2014,1.0,도입기
167,(주)안트로젠,65660,2020,1.0,도입기
168,(주)파커스,65690,2021,1.0,성장기
169,(주)버킷스튜디오,66410,2020,1.0,도입기
170,(주)씨씨에스충북방송,66790,2014,1.0,도입기
171,(주)제노텍,66830,2018,1.0,쇠퇴기
172,(주)손오공,66910,2014,1.0,쇠퇴기
173,에이치엘비생명과학(주),67630,2014,1.0,성숙기
174,(주)세진티에스,67770,2019,1.0,쇠퇴기
175,(주)팬엔터테인먼트,68050,2015,1.0,쇠퇴기
176,(주)셀피글로벌,68940,2019,1.0,성장기
177,(주)누리플랜,69140,2014,1.0,쇠퇴기
178,(주)유아이디,69330,2017,1.0,도입기
179,(주)라이트론,69540,2017,1.0,도입기
180,(주)아이에스이커머스,69920,2017,1.0,쇠퇴기
181,엑스큐어(주),70300,2016,1.0,도입기
182,(주)캐스텍코리아,71850,2021,1.0,도입기
183,(주)코아스,71950,2017,1.0,도입기
184,(주)제넨바이오,72520,2015,1.0,쇠퇴기
185,(주)듀오백,73190,2015,1.0,쇠퇴기
186,(주)에프알텍,73540,2017,1.0,도입기
187,(주)리튬포어스,73570,2014,1.0,성숙기
188,테라사이언스(주),73640,2014,1.0,성숙기
189,(주)아미노로직스,74430,2014,1.0,도입기
190,(주)이엔플러스,74610,2019,1.0,도입기
191,해성옵틱스(주),76610,2019,1.0,도입기
192,국일제지(주),78130,2016,1.0,도입기
193,메디포스트(주),78160,2014,1.0,도입기
194,(주)휴림에이텍,78590,2020,1.0,성장기
