회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치,총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,쭈피처,영업투자현금비율,영업재무현금비율,부실판단,도입기,성숙기,성장기,쇠퇴기
(주)아이엘사이언스,307180,2021,-10,-22,-8,-12,84,73,373,329,38,-11,14,59,21,-101.08,-17.89,-15.78,4.65,4.54,5.27,3.13,-0.1674065810196096,81.39328130450686,81.39,177.13,21.44,177.08,31.21,1090,2,9,2,-704,-454,0.667508589809297,3.65,2,2,1,1,2,2,6.0,6.0,-13.279678068410464,9606.658103139896,-20806.365007087952,3044.7142736829223,0.2347795382935344,2.383428141235979,-0.4825136925074856,1.0,1,0,0,0
(주)아이엠,101390,2020,-11,-24,-8,-4,66,46,266,227,34,-21,11,41,27,-46.43,-13.61,-8.55,-7.11,-7.22,-4.85,2.77,0.0461470875806918,-32.645855509978915,-32.65,-26.45,-36.4,-27.64,-29.55,29330,37,68,20,-43,33,1.850328919514764,9.86,5,3,2,1,2,4,18.0,16.0,-1.9544364508393288,1594.9411269048967,18531.13073021368,235.2148494510505,0.8559740379168278,0.1488791553693086,-0.1010183559752526,1.0,0,0,0,1
(주)아이오케이컴퍼니,78860,2018,-3,-4,-1,-4,130,130,48,45,23,9,10,39,67,-16.58,-24.03,-44.65,-4.56,-5.19,-19.33,14.71,-0.1053820198702577,61.14173372565481,61.14,177.22,26.7,61.79,774.07,7,0,0,0,-190075,-116701,0.2174992804832016,9.08,1,12,1,0,0,1,24.0,18.0,-5.140449438202247,789.1075365041901,-36360.80686063234,2446.0883378842423,0.170914131167179,0.0406282841733052,-0.0445784448636237,1.0,1,0,0,0
(주)아이윈,90150,2015,4,6,2,2,189,123,136,72,38,27,51,58,42,2.24,1.15,0.95,1.7,1.55,1.6,1.12,0.001742706877481,-2.8603761062823647,-2.86,-3.92,-1.37,2.34,-1.68,15982,16,91,16,6,25,0.9868114373257704,5.99,3,6,1,1,2,2,25.0,18.0,130.96153846153845,789.0309694414269,23478.75154743393,339.0462849928043,0.1124834181599633,-1.1272289777162583,-0.275760360607249,1.0,0,1,0,0
(주)아이윈플러스,123010,2018,-4,-5,-3,-5,71,56,192,126,55,-13,27,31,34,-53.13,-23.13,-47.4,-20.09,-20.3,-43.36,3.86,-0.2471999327979365,-19.214506342572225,-19.21,-28.06,-14.58,-34.88,-14.39,1437,8,13,16,-305,-122,0.5239847127653039,6.0,2,1,0,0,1,1,21.0,8.0,-4.078091106290673,3127.850015580558,-22044.96369806604,2042.998719040224,0.2142497247971813,-1.6479954873437703,-2.1045236631837736,1.0,0,0,0,1
(주)아이컴포넌트,59100,2014,12,14,6,11,86,50,102,75,43,-5,26,32,50,-9.45,-4.36,-8.26,-1.47,-1.57,-3.0,4.52,0.0306772061863141,-1.9728696356330144,-1.97,11.25,-7.16,1.6,-6.02,6851,13,22,24,-34,51,0.5278757323124833,5.98,3,1,1,1,1,2,24.0,16.0,-44.45945945945946,4126.936879051419,47646.16601479621,3876.4895758150647,0.134357666713312,-1.3705046152269418,3.477171334797746,1.0,0,0,1,0
(주)아톤,158430,2022,19,29,8,20,148,148,68,52,26,15,37,46,59,28.32,26.61,38.53,8.08,7.42,17.98,2.02,0.2490101933235486,21.641823402498016,21.64,-12.37,80.58,3.38,335.73,30448,26,574,68,57,65,0.3758863137272692,8.15,1,13,1,0,1,1,25.0,5.0,5.56701030927835,1331.8040353183617,8569.613556995686,2106.5252304822,0.3987703686700921,-0.9978583123853616,2.762708888460194,0.0,0,0,1,0
(주)알로이스,297570,2022,12,26,3,4,391,241,33,31,11,68,116,92,75,21.63,15.59,21.17,10.92,10.39,14.95,1.57,-0.0284548215173873,1.1732088603620494,1.17,5.09,-28.97,-21.62,-15.47,11776,28,3471,41,52,71,0.6909740531721316,4.02,1,78,1,1,7,1,6.0,6.0,8.409090909090908,1639.4488840659037,60599.189919886085,1782.599711941887,0.1791927067025695,-0.1514245670889848,-1.4393154303923303,0.0,0,1,0,0
(주)알에프세미,96610,2020,-4,-5,-2,-5,130,35,135,89,46,11,11,49,42,-46.59,-22.67,-59.89,-22.09,-22.11,-62.01,5.19,-0.4125885099109145,-14.431346922949812,-14.43,-20.32,-7.85,-20.08,-12.04,-5326,-6,-16,-16,0,0,0.3865878673645369,7.86,3,1,0,0,1,1,25.0,17.0,-2.391752577319588,1477.2807779396626,-30424.72943684079,1623.4166267858589,0.3021505232581137,0.5513475264582821,-0.4470655795606952,1.0,1,0,0,0
(주)알체라,347860,2022,-42,-90,-18,-94,720,720,71,20,20,73,444,84,58,-54.46,-22.51,-127.54,-23.82,-25.15,-151.96,22.98,0.0730891032810527,-21.20351352404149,-21.2,-26.65,31.98,10.88,-8.71,2785,5,101,25,-508,-331,0.1877967649339826,3.05,0,4,0,0,1,0,8.0,4.0,-12.24907063197026,4114.409731167915,-10180.612629416277,12801.81364781915,2.2620623389321337,1.5123335797533024,-2.597632507767507,1.0,1,0,0,0
