,회사명,거래소코드,회계년도,매출채권회전률,종업원수증가율,총자산증가율,총자산회전율,영업년수,상장년수,CROE
10196,오토앤(주),353590,2021,4.18,0.0,13.485230385907151,1.2428950030200094,12,2,-0.34419199623800495
10197,오토앤(주),353590,2022,4.34,5.78,37.19988038471247,0.8609471386884222,12,2,-0.27132826511584024
10198,(주)엔젠바이오,354200,2019,,,,0.10994392079413025,9,4,
10199,(주)엔젠바이오,354200,2020,5.97,0.0,267.5318244247465,0.05019454133500011,9,4,
10200,(주)엔젠바이오,354200,2021,7.2,32.93,-11.188006063730146,0.16329267860947763,9,4,0.1419216024013096
10201,(주)엔젠바이오,354200,2022,9.79,13.76,28.03258341358117,0.196166396958184,9,4,-0.10821631906280801
10202,(주)바스칸바이오제약,354390,2021,,,,0.7918073930231496,38,2,
10203,(주)바스칸바이오제약,354390,2022,2.95,0.0,4.3605297822261555,0.8790521723390535,38,2,
10204,(주)코스텍시스,355150,2020,,,,,4,4,
10205,(주)코스텍시스,355150,2021,,,,,4,4,
10206,(주)코스텍시스,355150,2022,,,,,4,4,
10207,(주)엑스게이트,356680,2019,,,,1.0713231847288744,14,1,
10208,(주)엑스게이트,356680,2020,2.92,0.0,19.06975685753188,1.110437326934828,14,1,
10209,(주)엑스게이트,356680,2021,3.72,0.0,48.70137111967628,0.9758730156925676,14,1,-0.005249350009975368
10210,(주)엑스게이트,356680,2022,3.8,0.0,9.600448186744392,1.1034912897114058,14,1,0.015132233448153426
10211,(주)싸이버원,356890,2018,,,,1.4675845491059414,19,3,
10212,(주)싸이버원,356890,2019,9.38,0.0,-1.980252896805405,1.6407489442819831,19,3,
10213,(주)싸이버원,356890,2020,8.01,0.0,11.842193561247706,1.3508497860944333,19,3,-0.02655617855384429
10214,(주)싸이버원,356890,2021,8.07,6.52,97.75810309959789,0.7356619105453402,19,3,-0.06664971025644498
10215,(주)싸이버원,356890,2022,9.18,-3.27,8.18466495810652,0.6974189976709267,19,3,-0.024213359624775124
10216,(주)에이치피오,357230,2014,,,,2.8203419677455854,12,3,
10217,(주)에이치피오,357230,2015,37.81,0.0,6.055965657221352,2.6453588865009,12,3,
10218,(주)에이치피오,357230,2016,18.52,0.0,14.125463583532866,1.4472151779238374,12,3,-0.08487082799721651
10219,(주)에이치피오,357230,2017,20.83,0.0,61.8999589042501,1.0718197959887592,12,3,0.0019308247545195
10220,(주)에이치피오,357230,2018,25.78,0.0,23.675418604534705,1.171472068571711,12,3,0.045446625449507505
10221,(주)에이치피오,357230,2019,16.88,0.0,66.16353939858405,0.9518910075611209,12,3,-0.025211801065956163
10222,(주)에이치피오,357230,2020,17.15,0.0,66.48658099351888,1.583254096180917,12,3,0.0880695499995337
10223,(주)에이치피오,357230,2021,15.96,0.0,100.7708312305037,0.8805293304884231,12,3,-0.13489884409322106
10224,(주)에이치피오,357230,2022,15.34,34.69,0.7384677359049308,1.0744173399423937,12,3,-0.07657772781263668
10225,(주)석경에이티,357550,2012,7.61,0.0,,0.3058113618682041,24,4,
10226,(주)석경에이티,357550,2013,7.85,0.0,-1.259751305415074,0.31745857935661526,24,4,
10227,(주)석경에이티,357550,2014,8.68,0.0,0.08027554562401379,0.29408516018466374,24,4,0.0569388481642349
10228,(주)석경에이티,357550,2015,9.9,0.0,-1.8014300294263295,0.3345118372906112,24,4,0.043889391196910474
10229,(주)석경에이티,357550,2016,8.0,0.0,4.243234777555712,0.3557361950509702,24,4,0.05284598740462723
10230,(주)석경에이티,357550,2017,9.87,0.0,1.201359205641861,0.39245919810519214,24,4,-0.14082509848779512
10231,(주)석경에이티,357550,2018,9.62,0.0,2.669749737921515,0.3520584557431506,24,4,0.024167142200684798
10232,(주)석경에이티,357550,2019,7.58,0.0,23.89332732074067,0.329003944208195,24,4,0.07547486302927936
10233,(주)석경에이티,357550,2020,8.5,0.0,39.05734631576324,0.24839875060665634,24,4,-0.06600823669594436
10234,(주)석경에이티,357550,2021,11.02,23.4,-1.7579112880475356,0.34073527389666114,24,4,0.07286349480850002
10235,(주)석경에이티,357550,2022,10.62,8.62,25.193560631020066,0.37088626475511965,24,4,0.02121548092759501
10236,(주)아모센스,357580,2013,,,,0.7743238647601911,16,3,
10237,(주)아모센스,357580,2014,12.25,0.0,-12.124370729092892,1.1760313975670422,16,3,
10238,(주)아모센스,357580,2015,6.13,0.0,55.16125625555471,1.8418276718747173,16,3,1.4830169601494498
10239,(주)아모센스,357580,2016,4.78,0.0,16.38066495751265,0.9720419719029308,16,3,-0.6763198795637031
10240,(주)아모센스,357580,2017,6.77,0.0,30.94481935760298,0.8876537386074237,16,3,0.15239394874215695
10241,(주)아모센스,357580,2018,5.82,0.0,-9.613444823370687,0.7906443713668455,16,3,-0.3616586450230425
10242,(주)아모센스,357580,2019,8.15,0.0,16.756175948502772,0.9024100066644891,16,3,-0.06625094772252504
10243,(주)아모센스,357580,2020,5.54,0.0,-14.110674048868546,0.7387302793704508,16,3,-0.9322258251821607
10244,(주)아모센스,357580,2021,5.54,0.0,29.086532317233416,0.744790707129493,16,3,0.6718195659668074
10245,(주)아모센스,357580,2022,4.83,0.33,19.141174273523088,0.6940134041383393,16,3,0.29039193575008515
10246,(주)비트나인,357880,2018,,,,1.0848331778488562,11,3,
10247,(주)비트나인,357880,2019,2.57,0.0,-22.832254087345234,1.5864382330543463,11,3,
10248,(주)비트나인,357880,2020,10.96,0.0,-25.5176982876184,1.6300645965269247,11,3,7.886847107755594
10249,(주)비트나인,357880,2021,4.27,0.0,396.2796906407201,0.4657404196782452,11,3,-5.960847635574632
10250,(주)비트나인,357880,2022,2.43,26.09,104.56770949204883,0.2659551128495059,11,3,-0.09499653676153584
10251,(주)지아이이노베이션,358570,2019,,,,0.06605721215857589,7,1,
10252,(주)지아이이노베이션,358570,2020,0.0,0.0,11.72530415117899,0.18538311381748382,7,1,
10253,(주)지아이이노베이션,358570,2021,101.82,0.0,202.66907324370158,0.03113401432985263,7,1,-6.067903712817402
10254,(주)지아이이노베이션,358570,2022,63.64,0.0,-40.881703944144775,0.032914952314886024,7,1,4.591613397502505
10255,(주)씨엔알리서치,359090,2020,,,,,4,4,
10256,(주)씨엔알리서치,359090,2021,15.89,0.0,,0.6057268809618618,4,4,
10257,(주)씨엔알리서치,359090,2022,18.03,13.67,-1.0736283000087834,0.6878549331547552,4,4,0.3349448623750827
10258,(주)탑머티리얼,360070,2019,,,,2.200295707053532,12,2,
10259,(주)탑머티리얼,360070,2021,,,239.9903290105522,0.998808200820588,12,2,
10260,(주)탑머티리얼,360070,2022,6.47,0.0,280.05709766517055,0.5191117443111054,12,2,-0.09822287456897247
10261,(주)제노코,361390,2013,,,,1.1485992389139545,20,3,
10262,(주)제노코,361390,2014,5.95,0.0,37.4007845073783,1.1323608614031666,20,3,
10263,(주)제노코,361390,2015,9.53,0.0,-25.05861675772395,1.8107272188066907,20,3,-0.26101765763884177
10264,(주)제노코,361390,2016,12.2,0.0,14.195653925329971,1.8787044898465595,20,3,0.10003118743932649
10265,(주)제노코,361390,2017,9.45,0.0,21.623469411958613,1.7543254751557829,20,3,-0.045176094392401375
10266,(주)제노코,361390,2018,7.89,0.0,33.20636384303631,1.6359824660638262,20,3,-0.07314981170957137
10267,(주)제노코,361390,2019,6.12,0.0,-7.458370416086082,1.5285783189664397,20,3,-0.1556979565583977
10268,(주)제노코,361390,2020,9.24,0.0,45.38739702999346,1.188937195577356,20,3,0.3427634712164732
10269,(주)제노코,361390,2021,10.98,23.68,120.20421180348787,0.7228652191615824,20,3,0.06952827711846907
10270,(주)제노코,361390,2022,13.33,41.49,0.33645234730016965,0.8004025847102105,20,3,-0.2130694042200709
10271,(주)알비더블유,361570,2017,,,,0.6250590295541301,14,3,
10272,(주)알비더블유,361570,2018,8.41,0.0,40.62138076195569,0.595202699751508,14,3,
10273,(주)알비더블유,361570,2019,15.64,0.0,13.229332283325352,0.8007078137357257,14,3,0.14233054515598792
10274,(주)알비더블유,361570,2020,15.55,0.0,158.69394671223313,0.4160499476342414,14,3,0.027040051195206166
10275,(주)알비더블유,361570,2021,9.62,0.0,13.562013813095561,0.5859608020160822,14,3,-0.029827761914501927
10276,(주)알비더블유,361570,2022,8.88,12.5,42.34013824471056,0.4355956450385229,14,3,-0.1631926125852442
10277,(주)삼영에스앤씨,361670,2015,,,,0.961519001295571,24,3,
10278,(주)삼영에스앤씨,361670,2016,3.68,0.0,4.156339875595455,0.9988079317024168,24,3,
10279,(주)삼영에스앤씨,361670,2017,4.51,0.0,-0.9450777516309091,1.0953132775213676,24,3,-0.04226545739202201
10280,(주)삼영에스앤씨,361670,2018,5.28,0.0,6.610811182321689,1.042137579228909,24,3,0.00600231945060236
10281,(주)삼영에스앤씨,361670,2019,5.77,0.0,2.8594229537723828,1.004017254378511,24,3,-0.014599205844628059
10282,(주)삼영에스앤씨,361670,2020,4.72,0.0,24.178155296659444,0.7470477035563766,24,3,0.04303530893590308
10283,(주)삼영에스앤씨,361670,2021,5.34,0.0,60.43872072884584,0.43017951217823486,24,3,-0.16276378773305755
10284,(주)삼영에스앤씨,361670,2022,7.71,-15.49,-2.6123903557726877,0.4809328110393111,24,3,0.03128229948092881
10285,(주)청담글로벌,362320,2020,,,,2.4985832202617377,7,2,
10286,(주)청담글로벌,362320,2021,4.58,0.0,55.54855923255963,3.010599462688476,7,2,
10287,(주)청담글로벌,362320,2022,6.21,0.0,104.87743971732486,2.2019250742645933,7,2,-0.27428959588483554
10288,(주)진시스템,363250,2020,,,,0.7007900951985482,14,3,
10289,(주)진시스템,363250,2021,7.09,0.0,167.76066645432266,0.26130055936519536,14,3,
10290,(주)진시스템,363250,2022,3.23,6.94,-18.703014826816815,0.08870295449318245,14,3,-0.35312443983828196
10291,(주)모비데이즈,363260,2020,,,,,4,3,
10292,(주)모비데이즈,363260,2021,,,,,4,3,
10293,(주)모비데이즈,363260,2022,0.38,0.0,,0.18813455499485315,4,3,
10294,(주)큐라클,365270,2019,,,,0.0,8,3,
