,회사명,거래소코드,회계년도,new_feature
135,(주)루켄테크놀러지스,162120,2021/12,0.15137269709559276
136,(주)루켄테크놀러지스,162120,2022/12,0.20306107465701728
137,(주)루트락,253610,2017/12,0.5651977586252815
138,(주)루트락,253610,2018/12,0.5766694982855638
139,(주)루트락,253610,2019/12,0.6128306395481968
140,(주)루트락,253610,2020/12,0.6523007788168241
141,(주)루트락,253610,2021/12,0.8955327476621823
142,(주)루트락,253610,2022/12,1.0519126436845032
143,(주)마이크로엔엑스,448780,2016/12,0.32769299474875646
144,(주)마이크로엔엑스,448780,2017/12,0.3683477130174474
145,(주)마이크로엔엑스,448780,2018/12,0.47963824809438754
146,(주)마이크로엔엑스,448780,2019/12,0.3312198709492836
147,(주)마이크로엔엑스,448780,2020/12,0.43831736354879575
148,(주)마이크로엔엑스,448780,2021/12,0.3284373931578956
149,(주)마이크로엔엑스,448780,2022/12,0.27211313319181757
150,(주)메디쎄이,200580,2013/12,0.4814217078290342
151,(주)메디쎄이,200580,2014/12,0.35104776112137054
152,(주)메디쎄이,200580,2015/12,0.4613159570765984
153,(주)메디쎄이,200580,2016/12,0.4746260397024843
154,(주)메디쎄이,200580,2017/12,0.5229234247448119
155,(주)메디쎄이,200580,2018/12,0.5561509413987251
156,(주)메디쎄이,200580,2019/12,0.5542767690019775
157,(주)메디쎄이,200580,2020/12,0.5184017063798415
158,(주)메디쎄이,200580,2021/12,0.5481718806068655
159,(주)메디쎄이,200580,2022/12,0.5592895108862598
160,(주)메디안디노스틱,233250,2013/12,0.4370297376570537
161,(주)메디안디노스틱,233250,2014/12,0.4997689494266232
162,(주)메디안디노스틱,233250,2017/12,0.46563847417300513
163,(주)메디안디노스틱,233250,2018/12,0.4243418467640607
164,(주)메디안디노스틱,233250,2019/12,0.470418978648447
165,(주)메디안디노스틱,233250,2020/12,0.5040769956060794
166,(주)메디안디노스틱,233250,2021/12,0.43067325522138517
167,(주)메디안디노스틱,233250,2022/12,0.29162271071844315
168,(주)메디젠휴먼케어,236340,2013/12,12.597362434611231
169,(주)메디젠휴먼케어,236340,2014/12,3.5333521729822306
170,(주)메디젠휴먼케어,236340,2015/12,2.1997702843613043
171,(주)메디젠휴먼케어,236340,2016/12,1.5250932279052332
172,(주)메디젠휴먼케어,236340,2017/12,0.894254850196586
173,(주)메디젠휴먼케어,236340,2018/12,1.1634187523720507
174,(주)메디젠휴먼케어,236340,2019/12,1.264612933675606
175,(주)메디젠휴먼케어,236340,2020/12,1.280550593339288
176,(주)메디젠휴먼케어,236340,2021/12,0.8030858036481792
177,(주)메디젠휴먼케어,236340,2022/12,0.7904099971669157
178,(주)무진메디,322970,2017/12,1.981393459779627
179,(주)무진메디,322970,2018/12,14.546022783556216
180,(주)무진메디,322970,2019/12,159.18357264165508
181,(주)무진메디,322970,2020/12,172.70491228070176
182,(주)무진메디,322970,2021/12,344.8497222222222
183,(주)무진메디,322970,2022/12,145.9707
184,(주)미래엔에듀파트너,208890,2013/12,0.4132538800090823
185,(주)미래엔에듀파트너,208890,2014/12,0.363315117649975
186,(주)미래엔에듀파트너,208890,2015/12,0.38766121998070424
187,(주)미래엔에듀파트너,208890,2016/12,0.3510581251591641
188,(주)미래엔에듀파트너,208890,2017/12,0.3784510504631413
189,(주)미래엔에듀파트너,208890,2018/12,0.33485698445655354
190,(주)미래엔에듀파트너,208890,2019/12,0.30870975242340404
191,(주)미래엔에듀파트너,208890,2020/12,1.0629640718906337
192,(주)미래엔에듀파트너,208890,2021/12,0.5528367492778069
193,(주)미래엔에듀파트너,208890,2022/12,0.2817203310398779
194,(주)바스칸바이오제약,354390,2021/12,0.19233351187920955
195,(주)바스칸바이오제약,354390,2022/12,0.22609696226981182
196,(주)바이오인프라생명과학,266470,2014/12,1.273136435145159
197,(주)바이오인프라생명과학,266470,2015/12,3.831110266690448
198,(주)바이오인프라생명과학,266470,2016/12,3.0615834433556217
199,(주)바이오인프라생명과학,266470,2017/12,2.8460720334034106
200,(주)바이오인프라생명과학,266470,2018/12,2.877201259989906
201,(주)바이오인프라생명과학,266470,2019/12,2.2838548501706026
202,(주)바이오인프라생명과학,266470,2020/12,4.365059626421629
203,(주)바이오인프라생명과학,266470,2021/12,3.6482186422141836
204,(주)바이오인프라생명과학,266470,2022/12,2.0478032192732845
205,(주)바이오프로테크,199290,2013/12,0.21060781343785825
206,(주)바이오프로테크,199290,2014/12,0.17128290685990588
207,(주)바이오프로테크,199290,2015/12,0.1640641738359438
208,(주)바이오프로테크,199290,2016/12,0.28707321006736225
209,(주)바이오프로테크,199290,2017/12,0.21993532925611972
210,(주)바이오프로테크,199290,2018/12,0.15565232758107272
211,(주)바이오프로테크,199290,2019/12,0.3510884832249036
212,(주)바이오프로테크,199290,2020/12,0.28779731423976534
213,(주)바이오프로테크,199290,2021/12,0.17952282329394637
214,(주)바이오프로테크,199290,2022/12,0.13261012030963537
