,회사명,거래소코드,회계년도,영업투자현금비율,영업재무현금비율
4217,(주)에스앤더블류,103230,2015/12,0.6821451555043294,-0.8564838211008605
4218,(주)에스앤더블류,103230,2016/12,-0.019221818090718233,-1.0028526970954357
4219,(주)에스앤더블류,103230,2017/12,-9.17518650912442,1.2399646211448154
4220,(주)에스앤더블류,103230,2018/12,-0.6165383097857605,
4221,(주)에스앤더블류,103230,2019/12,4.825896509169605,5.7447357142857145
4222,(주)에스앤더블류,103230,2020/12,-1.4032837022132796,-3.4861113776975885
4223,(주)에스앤더블류,103230,2021/12,1.292911323844,-0.4935145485221023
4224,(주)에스앤더블류,103230,2022/12,-6.535782276302111,2.979248854715344
4225,(주)에스앤디,260970,2012/12,-0.8536162434701269,3.872358226801377
4226,(주)에스앤디,260970,2013/12,-0.8300893467138064,4.6408545798825624
4227,(주)에스앤디,260970,2014/12,-1.033047846309736,3.533900033045765
4228,(주)에스앤디,260970,2015/12,-4.968602672688445,-1.875656858997039
4229,(주)에스앤디,260970,2016/12,-5.944071793648318,5.081117756642808
4230,(주)에스앤디,260970,2017/12,-1.3724799126703429,-0.9126061937400577
4231,(주)에스앤디,260970,2018/12,-4.776089206190481,-10.613490433187344
4232,(주)에스앤디,260970,2019/12,-2.5391575813771254,-14.161736071507011
4233,(주)에스앤디,260970,2020/12,-94.1741839288567,-9.762179975491009
4234,(주)에스앤디,260970,2021/12,-0.22579011484567818,0.34272085978235023
4235,(주)에스앤디,260970,2022/12,-0.758978734226059,-13.030437100800091
4236,(주)에스앤에스텍,101490,2012/12,-1.7812669212857033,0.6926052024554501
4237,(주)에스앤에스텍,101490,2013/12,-0.3524223361362802,1.6704497710152697
4238,(주)에스앤에스텍,101490,2014/12,-0.7765346570609981,-0.5990024197000271
4239,(주)에스앤에스텍,101490,2015/12,-2.961847875731486,10.4764883037557
4240,(주)에스앤에스텍,101490,2016/12,-0.34202202103167917,1.065224172113725
4241,(주)에스앤에스텍,101490,2017/12,-1.0447824882859065,1.365569921383923
4242,(주)에스앤에스텍,101490,2018/12,-2.0082140730309415,-3.2681072560646327
4243,(주)에스앤에스텍,101490,2019/12,-1.6190810412989678,-4.592494130536037
4244,(주)에스앤에스텍,101490,2020/12,-0.15370877337044708,0.13651147381006934
4245,(주)에스앤에스텍,101490,2021/12,0.9153315481882042,-2.4808850315641218
4246,(주)에스앤에스텍,101490,2022/12,-0.7467243880197082,7.749268681275629
4247,(주)에스에스알,275630,2017/12,-1.4582055864268961,6.366328125
4248,(주)에스에스알,275630,2018/12,-0.010920666257614911,0.010186609518828061
4249,(주)에스에스알,275630,2019/12,-15.342018531185872,-2.1480525043707206
4250,(주)에스에스알,275630,2020/12,4.011966701352757,12.656795923971078
4251,(주)에스에스알,275630,2021/12,-19.693013435948426,40.19812327846383
4252,(주)에스에스알,275630,2022/12,-0.7048189416776147,-18.58856620061931
4253,(주)에스에이엠지엔터테인먼트,419530,2014/12,-0.6680310766826248,2.6498284579270495
4254,(주)에스에이엠지엔터테인먼트,419530,2015/12,-0.7118943844208522,2.5852290504498594
4255,(주)에스에이엠지엔터테인먼트,419530,2016/12,0.056158058955580605,-0.03771801010753593
4256,(주)에스에이엠지엔터테인먼트,419530,2017/12,-0.6723286003260079,-0.9701925723558895
4257,(주)에스에이엠지엔터테인먼트,419530,2018/12,-1.083346330698437,-17.95486422464782
4258,(주)에스에이엠지엔터테인먼트,419530,2019/12,-0.6774309687261633,2.5039321061352884
